SAMPLE	Ia-10	Ia-1	Ia-2	Ia-3	Ia-4	Ia-5	Ia-6	Ia-7	Ia-8	Ia-9	Ib-10	Ib-1	Ib-2	Ib-3	Ib-4	Ib-5	Ib-6	Ib-7	Ib-8	Ib-9	II-1	IIa-10	IIa-1	IIa-2	IIa-3	IIa-4	IIa-5	IIa-6	IIa-7	IIa-8	IIa-9	IIb-10	IIb-1	IIb-2	IIb-3	IIb-4	IIb-5	IIb-6	IIb-7	IIb-8	IIb-9
Ia-10	0.000338852	0.00681984	0.0153465	0.00819683	0.0924389	0.180361	0.00942439	0.0214913	0.0117822	0.0200036	0.179155	0.191968	0.0265242	0.0407317	0.0465109	0.0359882	0.028451	0.201386	0.0352573	0.200086	0.193075	0.198293	0.0436961	0.202067	0.201486	0.195607	0.202537	0.196577	0.196577	0.0814698	0.196849	0.184278	0.182735	0.184188	0.184394	0.184137	0.184182	0.184182	0.184163	0.1844	0.184182
Ia-1	0.00681984	0.000401795	0.0114182	0.00164086	0.0896112	0.17864	0.00663322	0.0196221	0.0105696	0.0117618	0.1808	0.194474	0.0201488	0.0348285	0.0415398	0.0368495	0.0218196	0.201315	0.0358766	0.199979	0.197808	0.199222	0.0442746	0.202016	0.203619	0.197436	0.204731	0.19845	0.19845	0.0818903	0.198722	0.18612	0.186864	0.188003	0.186235	0.187952	0.187997	0.186024	0.186005	0.186242	0.186024
Ia-2	0.0153465	0.0114182	0.000455558	0.012078	0.0867084	0.184743	0.00658947	0.0191227	0.0143717	0.0161981	0.184384	0.200105	0.0219164	0.0306109	0.0433411	0.028067	0.0220205	0.213117	0.032909	0.212214	0.20039	0.203292	0.0402848	0.210144	0.208305	0.201415	0.209572	0.202523	0.202523	0.0795378	0.202794	0.198425	0.196801	0.201047	0.198539	0.200997	0.201041	0.19833	0.198311	0.198545	0.19833
Ia-3	0.00819683	0.00164086	0.012078	0.000408649	0.0894737	0.178633	0.00814998	0.0191227	0.0123296	0.0137641	0.182565	0.194467	0.0228542	0.0393518	0.0470296	0.0363252	0.0247409	0.201308	0.0391341	0.199969	0.199096	0.200208	0.0453732	0.203081	0.204745	0.19939	0.204727	0.199437	0.199437	0.0830877	0.199708	0.187094	0.187978	0.189027	0.18721	0.188976	0.189021	0.186998	0.186979	0.187216	0.186998
Ia-4	0.0924389	0.0896112	0.0867084	0.0894737	8.9407e-05	0.116426	0.0869889	0.12844	0.0964635	0.116138	0.118727	0.117246	0.102106	0.106394	0.120986	0.114382	0.104604	0.123583	0.0674435	0.101023	0.125783	0.133842	0.119231	0.134353	0.133738	0.132956	0.132931	0.133009	0.133009	0.140244	0.133303	0.122221	0.117735	0.122522	0.122338	0.122463	0.122515	0.122123	0.122109	0.122345	0.122123
Ia-5	0.180361	0.17864	0.184743	0.178633	0.116426	0	0.180283	0.196161	0.191454	0.190284	0.00196964	0.00348026	0.198797	0.217528	0.221593	0.211507	0.2016	0.00173366	0.206873	0.0126312	0.00503421	0.0135827	0.192382	0.0127886	0.01404	0.0139894	0.0140176	0.0140318	0.0140318	0.177678	0.0138936	0.00564969	0.0079779	0.0057587	0.00571328	0.00561792	0.00558704	0.00573957	0.00591695	0.0057252	0.00573957
Ia-6	0.00942439	0.00663322	0.00658947	0.00814998	0.0869889	0.180283	0.000430882	0.0105696	0.0133112	0.009345	0.178259	0.190668	0.0235121	0.0324682	0.0452245	0.025741	0.0236726	0.204334	0.0307912	0.19994	0.191886	0.197299	0.0396326	0.204171	0.200392	0.194654	0.201415	0.195603	0.195603	0.0790652	0.195875	0.190168	0.187978	0.192267	0.190283	0.192216	0.192261	0.190072	0.190053	0.190289	0.190072
Ia-7	0.0214913	0.0196221	0.0191227	0.0191227	0.12844	0.196161	0.0105696	0.000656605	0.0218196	0.00964832	0.189896	0.206109	0.0395444	0.0646709	0.0646709	0.0245181	0.0406958	0.226617	0.0357945	0.234455	0.199833	0.203824	0.0432983	0.212267	0.207742	0.201905	0.207718	0.201957	0.201957	0.0857361	0.202232	0.197852	0.196199	0.200467	0.197967	0.200416	0.200461	0.197755	0.197742	0.197973	0.197755
Ia-8	0.0117822	0.0105696	0.0143717	0.0123296	0.0964635	0.191454	0.0133112	0.0218196	0.000447035	0.0286189	0.186817	0.204462	0.0279222	0.0522074	0.0446057	0.0384417	0.0319163	0.226713	0.0392464	0.246773	0.209051	0.208615	0.0449162	0.218323	0.211777	0.204214	0.213174	0.205426	0.205426	0.0859413	0.205699	0.192998	0.196286	0.196536	0.19312	0.196485	0.19653	0.192901	0.192888	0.19312	0.192901
Ia-9	0.0200036	0.0117618	0.0161981	0.0137641	0.116138	0.190284	0.009345	0.00964832	0.0286189	0.000577033	0.187789	0.206144	0.0256901	0.0378796	0.0571928	0.0262964	0.0259799	0.214585	0.0329662	0.21462	0.198527	0.201682	0.0429878	0.204736	0.206532	0.199823	0.207751	0.200914	0.200914	0.083284	0.201189	0.196588	0.194842	0.199114	0.196703	0.199062	0.199107	0.196491	0.196478	0.19671	0.196491
Ib-10	0.179155	0.1808	0.184384	0.182565	0.118727	0.00196964	0.178259	0.189896	0.186817	0.187789	0	0.00310731	0.191027	0.209287	0.212422	0.199819	0.194551	0.00142908	0.195171	0.0118121	0.00510448	0.0135518	0.183872	0.0130419	0.013444	0.0133884	0.0134339	0.0134363	0.0134363	0.173112	0.0136191	0.00577414	0.00754458	0.00589436	0.00584602	0.0056892	0.00572127	0.00586486	0.00605279	0.00585002	0.00586486
Ib-1	0.191968	0.194474	0.200105	0.194467	0.117246	0.00348026	0.190668	0.206109	0.204462	0.206144	0.00310731	0	0.201052	0.226896	0.232986	0.207916	0.204327	0.00278866	0.203275	0.0153129	0.00718462	0.0159594	0.19763	0.0155792	0.0164844	0.0164781	0.0164608	0.0165224	0.0165224	0.181426	0.0163091	0.0078662	0.0105149	0.00800234	0.00792831	0.00777948	0.00781268	0.00796789	0.00816399	0.00794482	0.00796789
Ib-2	0.0265242	0.0201488	0.0219164	0.0228542	0.102106	0.198797	0.0235121	0.0395444	0.0279222	0.0256901	0.191027	0.201052	0.000675261	0.0144368	0.0191227	0.0177478	0.00524092	0.207004	0.0260307	0.214562	0.218616	0.216925	0.0515684	0.218263	0.222901	0.213136	0.216106	0.214651	0.214651	0.0938246	0.213454	0.210093	0.213713	0.213741	0.210207	0.213691	0.213735	0.209998	0.211818	0.210213	0.209998
