SAMPLE	Ia-10	Ia-1	Ia-2	Ia-3	Ia-4	Ia-5	Ia-6	Ia-7	Ia-8	Ia-9	Ib-10	Ib-1	Ib-2	Ib-3	Ib-4	Ib-5	Ib-6	Ib-7	Ib-8	Ib-9	II-1	IIa-10	IIa-1	IIa-2	IIa-3	IIa-4	IIa-5	IIa-6	IIa-7	IIa-8	IIa-9	IIb-10	IIb-1	IIb-2	IIb-3	IIb-4	IIb-5	IIb-6	IIb-7	IIb-8	IIb-9
Ia-10	0.985915	0.763889	0.565789	0.726027	0.0697674	0.00773369	0.694444	0.463768	0.638889	0.486111	0.00797827	0.00572061	0.397260.263889	0.225352	0.30137	0.375	0.00446659	0.307692	0.0046225	0.00555737	0.00484614	0.243243	0.00438703	0.00445489	0.00520059	0.00433276	0.00506987	0.00506987	0.091623	0.00503376	0.00698835	0.00727341	0.00700467	0.00696748	0.00701403	0.00700584	0.00700584	0.00700935	0.00696633	0.00700584	
Ia-1	0.763889	0.983333	0.647059	0.934426	0.0748299	0.00808489	0.769231	0.492063	0.666667	0.639344	0.00764656	0.00535747	0.4838710.311475	0.258065	0.294118	0.459016	0.00447504	0.302326	0.00463559	0.00490838	0.00472899	0.239437	0.00439292	0.00421053	0.00495663	0.00408821	0.00482614	0.00482614	0.0906667	0.00479174	0.00666223	0.00653473	0.00634391	0.00664231	0.00635239	0.00634497	0.00667891	0.00668226	0.00664121	0.00667891	
Ia-2	0.565789	0.647059	0.981132	0.632353	0.0804196	0.00690468	0.770492	0.5	0.584615	0.55	0.00696923	0.00462022	0.4576270.351852	0.245614	0.37931	0.45614	0.00326966	0.329114	0.00334965	0.00458565	0.00424706	0.267176	0.00354004	0.00371793	0.00446318	0.00359445	0.00433437	0.00433437	0.0961538	0.00430345	0.00482931	0.00504013	0.00450676	0.00481488	0.00451279	0.00450751	0.0048414	0.00484383	0.00481408	0.0048414	
Ia-3	0.726027	0.934426	0.632353	0.983051	0.0750853	0.00808625	0.727273	0.5	0.626866	0.596774	0.00730547	0.00535846	0.4444440.274194	0.222222	0.298507	0.419355	0.00447581	0.275862	0.00463679	0.00474476	0.00460774	0.232394	0.0042709	0.00408669	0.00470821	0.00408871	0.00470239	0.00470239	0.088	0.00466888	0.00649567	0.00634802	0.00617696	0.00647625	0.00618522	0.00617799	0.00651194	0.0065152	0.00647518	0.00651194	
Ia-4	0.0697674	0.0748299	0.0804196	0.0750853	0.996255	0.0385936	0.0798611	0.0286738	0.0631579	0.0388693	0.0364626	0.0378204	0.05494510.0494297	0.0344828	0.0405904	0.0516605	0.0323387	0.130435	0.0564334	0.0306252	0.0250765	0.0360111	0.0247601	0.0251413	0.0256349	0.0256503	0.025601	0.025601	0.0213816	0.0254146	0.0334464	0.0373662	0.0331984	0.0333494	0.0332468	0.0332038	0.0335277	0.0335386	0.0333441	0.0335277	
Ia-5	0.00773369	0.00808489	0.00690468	0.00808625	0.0385936	1	0.00774933	0.00512558	0.00579809	0.0059778	0.922047	0.868116	0.004782240.00290449	0.00260281	0.00341355	0.00444141	0.930907	0.0038623	0.620372	0.817253	0.600471	0.00565912	0.617019	0.591213	0.592228	0.591661	0.591377	0.591377	0.00828773	0.594155	0.798279	0.731868	0.794984	0.796355	0.799243	0.800182	0.795561	0.790235	0.795995	0.795561	
Ia-6	0.694444	0.769231	0.770492	0.727273	0.0798611	0.00774933	0.982143	0.666667	0.606061	0.696429	0.00816465	0.00591825	0.4354840.333333	0.233333	0.40678	0.433333	0.00413152	0.35	0.00464037	0.00573301	0.00497452	0.272059	0.00414938	0.00458545	0.00533234	0.00446318	0.00520124	0.00520124	0.0972973	0.00516415	0.005996	0.00634802	0.00567613	0.00597808	0.00568372	0.00567707	0.00601102	0.00601403	0.00597709	0.00601102	
Ia-7	0.463768	0.492063	0.5	0.5	0.0286738	0.00512558	0.666667	0.972973	0.459016	0.688889	0.00603865	0.00394144	0.2727270.14	0.14	0.422222	0.264151	0.00227114	0.30303	0.00183294	0.00465348	0.00418771	0.245902	0.0033449	0.00377406	0.00440584	0.00377644	0.00439975	0.00439975	0.0823864	0.0043679	0.00490279	0.00512043	0.00457627	0.00488792	0.00458248	0.00457705	0.00491525	0.00491692	0.00488709	0.00491525	
Ia-8	0.638889	0.666667	0.584615	0.626866	0.0631579	0.00579809	0.606061	0.459016	0.981481	0.373134	0.0065427	0.00411754	0.3809520.193548	0.237288	0.28125	0.33871	0.0022652	0.275	0.0013031	0.0036448	0.00368732	0.235294	0.00284302	0.00338898	0.00414469	0.00326469	0.00401355	0.00401355	0.0819672	0.00398456	0.00556868	0.0051088	0.00507528	0.00555088	0.00508216	0.00507614	0.00558281	0.0055847	0.00555088	0.00558281	
Ia-9	0.486111	0.639344	0.55	0.596774	0.0388693	0.0059778	0.696429	0.688889	0.373134	0.97619	0.00637931	0.00393775	0.4074070.285714	0.169811	0.4	0.403846	0.00314356	0.328571	0.00314054	0.00481648	0.00443186	0.248	0.0040877	0.00389741	0.00465467	0.00377311	0.00452261	0.00452261	0.0875706	0.0044899	0.00506842	0.00530605	0.00474255	0.00505306	0.00474898	0.00474335	0.0050813	0.00508302	0.00505221	0.0050813	
Ib-10	0.00797827	0.00764656	0.00696923	0.00730547	0.0364626	0.922047	0.00816465	0.00603865	0.0065427	0.00637931	1	0.880999	0.005863080.00362194	0.003331	0.00465517	0.00534667	0.942529	0.00526048	0.638225	0.815055	0.601103	0.00706238	0.611674	0.603318	0.604465	0.603525	0.603476	0.603476	0.00931922	0.599727	0.794518	0.743626	0.790909	0.792359	0.797082	0.796114	0.791793	0.786189	0.792239	0.791793	
Ib-1	0.00572061	0.00535747	0.00462022	0.00535846	0.0378204	0.868116	0.00591825	0.00394144	0.00411754	0.00393775	0.880999	1	0.00450620.00225394	0.0019084	0.00375657	0.00413223	0.892224	0.00424903	0.566426	0.753595	0.554365	0.00493151	0.561418	0.544822	0.544936	0.545247	0.544139	0.544139	0.00752394	0.547984	0.734874	0.667958	0.731214	0.733202	0.73722	0.736321	0.732137	0.7269	0.732757	0.732137	
Ib-2	0.39726	0.483871	0.457627	0.444444	0.0549451	0.00478224	0.435484	0.272727	0.380952	0.407407	0.00586308	0.0045062	0.9722220.583333	0.5	0.522727	0.810811	0.00384885	0.403226	0.00314548	0.00282064	0.00295203	0.19685	0.00284759	0.00251225	0.00326797	0.00301773	0.00313794	0.00313794	0.0674157	0.00324028	0.0035449	0.00321787	0.00321543	0.00353416	0.00321979	0.00321598	0.0035539	0.00338524	0.00353357	0.0035539	
Ib-3	0.263889	0.311475	0.351852	0.274194	0.0494297	0.00290449	0.333333	0.14	0.193548	0.285714	0.00362194	0.00225394	0.5833330.954545	0.571429	0.358974	0.65625	0.00210084	0.25	0.00315706	0.00149378	0.00159961	0.104	0.00173439	0.00100515	0.00176012	0.00150924	0.00163214	0.00163214	0.0368272	0.0017452	0.00135044	0.00151458	0.00135387	0.00134635	0.0013557	0.0013541	0.00135387	0.00135433	0.00134612	0.00135387	
Ib-4	0.225352	0.258065	0.245614	0.222222	0.0344828	0.00260281	0.233333	0.14	0.237288	0.169811	0.003331	0.0019084	0.50.571429	0.958333	0.325	0.558824	0.00177778	0.20339	0.00186966	0.00067465	0.00137655	0.088	0.00151095	0.000766675	0.00153433	0.0012791	0.00140449	0.00140449	0.0315186	0.0015213	0.000858222	0.000961538	0.000860141	0.000855432	0.000861178	0.000860141	0.000860437	0.000860882	0.000855432	0.000860437	
